year,month,day,hour,minute,latitude,longitude,accident_type,fatalities,injuries,road_shape,accident_category,police_station_code,severity_a,severity_b,police_station_name
2023,11,17,15,15,35.76958194444445,139.84782611111112,2,0,1,1,1,669,4,2,綾瀬
2023,11,17,15,25,35.77377472222222,139.82027888888888,2,0,1,7,21,669,2,0,綾瀬
2023,11,17,18,26,35.763551944444444,139.82909444444445,2,0,2,14,21,669,4,2,綾瀬
2023,11,9,7,25,35.77780111111111,139.85019194444445,2,0,1,14,1,669,4,2,綾瀬
2023,11,18,10,50,35.764161111111115,139.82323805555555,2,0,1,7,21,669,4,2,綾瀬
2023,11,18,16,45,35.77768611111111,139.82712999999998,2,0,2,14,21,669,4,2,綾瀬
2023,11,13,13,25,35.762388055555554,139.82505083333334,2,0,1,1,1,669,4,2,綾瀬
2023,10,31,18,10,35.78275194444444,139.80574944444444,2,0,1,14,21,669,4,2,綾瀬
2023,11,7,10,15,35.77737555555556,139.83196,2,0,1,1,21,669,4,2,綾瀬
2023,9,9,18,20,35.76659333333333,139.8373263888889,2,0,1,1,21,669,4,2,綾瀬
2023,11,6,10,40,35.79378333333333,139.83442083333335,2,0,1,14,21,669,4,2,綾瀬
2023,11,22,10,45,35.7695225,139.8296136111111,2,0,1,1,21,669,4,2,綾瀬
2023,11,22,18,20,35.768548333333335,139.80387694444445,2,0,1,1,21,669,4,2,綾瀬
2023,11,23,14,30,35.794005,139.83475111111113,2,0,1,14,41,669,2,0,綾瀬
2023,11,24,11,15,35.785132222222224,139.8244897222222,2,0,1,14,41,669,2,0,綾瀬
2023,11,24,16,55,35.77638833333333,139.84347694444446,2,0,1,14,41,669,2,0,綾瀬
2023,11,24,13,30,35.77547027777778,139.8444802777778,2,0,1,14,21,669,4,2,綾瀬
2023,11,26,7,5,35.77444027777778,139.82048722222223,2,0,1,14,41,669,2,0,綾瀬
2023,11,26,16,58,35.78382222222222,139.81073333333333,2,0,1,1,1,669,4,2,綾瀬
2023,11,26,17,10,35.775174166666666,139.8411338888889,2,0,1,14,41,669,2,0,綾瀬
2023,11,15,19,20,35.76346083333333,139.81223472222223,2,0,4,7,21,669,4,2,綾瀬
2023,11,29,13,45,35.775173333333335,139.8135738888889,2,0,1,1,21,669,4,2,綾瀬
2023,11,30,5,10,35.78239972222222,139.84689694444447,2,0,1,14,41,669,2,0,綾瀬
2023,11,30,18,40,35.76583611111111,139.8199275,2,0,1,7,1,669,4,2,綾瀬
2023,11,4,16,27,35.776000833333335,139.81670416666665,2,0,1,1,21,669,4,2,綾瀬
2023,11,12,0,20,35.78325805555556,139.81407444444446,2,0,1,1,21,669,4,2,綾瀬
2023,11,23,11,30,35.76870666666667,139.85266222222222,2,0,1,14,1,669,4,2,綾瀬
2023,11,25,11,0,35.78730472222222,139.81058444444446,2,0,1,7,21,669,4,2,綾瀬
2023,11,25,10,40,35.793330555555556,139.83220444444444,2,0,1,1,41,669,2,0,綾瀬
2023,10,29,18,26,35.80514333333333,139.8068638888889,2,0,1,7,41,670,2,0,竹の塚
2023,10,29,22,55,35.794058888888884,139.80757333333335,2,0,1,1,21,670,4,2,竹の塚
2023,11,2,3,8,35.79646916666667,139.80205833333335,2,0,2,14,21,670,4,2,竹の塚
2023,11,8,14,0,35.80561055555555,139.80788333333334,2,0,1,1,21,670,4,2,竹の塚
2023,11,3,13,44,35.81020083333333,139.7597,2,0,1,14,21,670,4,2,竹の塚
2023,11,15,5,3,35.800311388888886,139.7898463888889,2,0,2,1,21,670,2,2,竹の塚
2023,11,11,2,10,35.79644166666667,139.8020791666667,2,0,2,14,21,670,4,2,竹の塚
2023,10,18,22,15,35.80856194444444,139.7684191666667,2,0,1,14,1,670,4,2,竹の塚
2023,10,4,15,45,35.78694722222222,139.80557861111112,2,0,1,14,1,670,4,2,竹の塚
2023,2,22,9,19,35.80029583333333,139.7987761111111,2,0,1,14,21,670,4,2,竹の塚
2023,11,18,21,0,35.789380277777774,139.7863825,2,0,1,1,21,670,2,4,竹の塚
2023,11,18,22,33,35.79071194444444,139.7940311111111,2,0,1,14,41,670,2,0,竹の塚
2023,11,21,15,0,35.796284444444446,139.7805436111111,2,0,1,13,41,670,2,0,竹の塚
2023,11,22,8,30,35.80256111111111,139.77148027777778,2,0,1,1,21,670,4,2,竹の塚
2023,11,22,16,30,35.809557777777776,139.82077638888887,2,0,1,1,21,670,4,2,竹の塚
2023,11,25,14,30,35.80918944444444,139.7744091666667,2,0,1,14,21,670,4,2,竹の塚
2023,11,25,17,35,35.787032777777775,139.82211055555555,2,0,1,14,21,670,4,2,竹の塚
2023,11,26,18,10,35.80291166666667,139.79976,2,0,1,1,21,670,4,2,竹の塚
2023,11,27,21,47,35.791808055555556,139.8261361111111,2,0,1,14,41,670,2,0,竹の塚
2023,11,29,14,20,35.80095138888888,139.79018833333333,2,0,1,14,41,670,2,0,竹の塚
2023,11,30,7,45,35.8064525,139.78473944444445,2,0,1,1,21,670,4,2,竹の塚
2023,11,21,0,30,35.79479472222222,139.8075961111111,2,0,1,7,1,670,4,2,竹の塚
2023,11,30,9,35,35.79397972222222,139.81735666666665,2,0,1,14,21,670,4,2,竹の塚
2023,11,30,10,45,35.793954444444445,139.79838055555555,2,0,1,1,1,670,4,2,竹の塚
2023,11,30,13,7,35.787860277777774,139.78615305555556,2,0,1,1,21,670,4,2,竹の塚
2023,11,28,9,5,35.79601861111111,139.762255,2,0,1,1,21,670,4,2,竹の塚
2023,12,1,17,17,35.74668361111111,139.80161083333334,2,0,1,14,41,667,2,0,千住
